Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
1385,tt0067995,Women in Cages,,1971,\N,81,1577.0,False
1402,tt0068370,Children Shouldn't Play with Dead Things,,1972,\N,87,,False
1425,tt0068918,Manson,,1973,\N,83,1003.0,True
1429,tt0069024,Nothing But the Night,,1973,\N,90,1741.0,False
1431,tt0069035,The New Land,Nybyggarna,1972,\N,202,4390.0,True
1439,tt0069289,Snoopy Come Home,Snoopy Come Home,1972,\N,81,4537.0,True
1442,tt0069400,Trafic,Trafic,1971,\N,96,6355.0,True
1451,tt0069737,Distant Thunder,,1973,\N,101,1458.0,True
1480,tt0070439,Unbelievable Adventures of Italians in Russia,,1974,\N,104,5541.0,True
1489,tt0070679,Shaft in Africa,,1973,\N,112,,False
1506,tt0071230,Blazing Saddles,,1974,\N,93,133304.0,True
1511,tt0071486,White Collar Blues,,1975,\N,108,6015.0,True
1514,tt0071532,The Gambler,,1974,\N,111,4984.0,True
1515,tt0071544,General Idi Amin Dada: A Self Portrait,,1974,\N,92,1862.0,True
1523,tt0071853,Monty Python and the Holy Grail,Monty Python and the Holy Grail,1975,\N,91,522043.0,True
1525,tt0071908,A Jungle Book of Regulations,Nie ma rózy bez ognia,1974,\N,91,1091.0,True
1526,tt0071956,Writtén Ớff,Otpisani,1974,\N,88,1214.0,True
1529,tt0072245,TNT Jackson,TNT Jackson,1974,\N,72,1181.0,False
1542,tt0072867,Sharon's Baby,I Don't Want to Be Born,1975,\N,95,1248.0,False
1577,tt0073691,Tarzoon: Shame of the Jungle,"Tarzoon, la honte de la jungle",1975,\N,85,1224.0,False
1600,tt0074478,Émánúéllé in Bángkớk,,1976,\N,92,1045.0,False
1608,tt0074593,Grizzly,,1976,\N,91,4754.0,False
1649,tt0075788,"Bruce Lee, the Legend",,1984,\N,88,1092.0,True
1655,tt0075902,Man of Marble,,1977,\N,165,4238.0,True
1656,tt0075936,Desperate Living,,1977,\N,90,5265.0,True
1658,tt0075984,Emanuelle and the Last Cannibals,,1977,\N,94,2894.0,False
1661,tt0076009,Exorcist II: The Heretic,Exorcist II: The Heretic,1977,\N,117,23979.0,False
1662,tt0076085,A Special Day,,1977,\N,106,13388.0,True
1674,tt0076391,Miminớ,Mimino,1977,\N,95,5776.0,True
1678,tt0076649,The Beast in Heat,La bestia in calore,1977,\N,86,,False
1683,tt0076740,Sorcerer,,1977,\N,121,20272.0,True
1699,tt0077288,La Cage aux Folles,,\N,1978,97,10532.0,True
1715,tt0077707,The Hypothesis of the Stolen Painting,L'hypothèse du tableau volé,1978,\N,66,1082.0,True
1723,tt0077904,The Manitou,The Manitou,1978,\N,104,2804.0,False
1730,tt0078252,Snake in the Eagle's Shadow,,1978,\N,97,11419.0,True
1746,tt0078788,Ápớcálypsé Nớw,,1979,\N,147,636802.0,True
1751,tt0078935,Cannibal Holocaust,Cannibal Holocaust,1980,\N,95,53698.0,False
1757,tt0079027,Thé Dárk,The Dark,\N,1979,92,1525.0,False
1762,tt0079221,Hanky Panky,Golmaal,1979,\N,120,18804.0,True
1770,tt0079576,More American Graffiti,,1979,\N,110,,False
1779,tt0079788,Zombie Holocaust,Zombi Holocaust,1980,\N,84,5319.0,False
1780,tt0079833,Lupin III: The Castle of Cagliostro,,1979,\N,100,29399.0,True
1784,tt0079889,Sankarabharanam,,1980,\N,143,2117.0,True
1789,tt0080100,The Visitor,,1979,\N,108,3581.0,False
1796,tt0080421,Battle Beyond the Stars,Battle Beyond the Stars,1980,\N,104,8828.0,False
1801,tt0080492,Can't Stop the Music,,1980,\N,124,4062.0,False
1820,tt0081229,Night of the Demon,,1980,\N,92,1836.0,False
1826,tt0081400,Ráisé thé Titánic,Raise the Titanic,1980,\N,115,,False
1844,tt0082162,Chashme Buddoor,,1981,\N,145,2427.0,True
1845,tt0082183,La Chèvre,La chèvre,1981,\N,90,8746.0,True
1859,tt0082427,Thé Fúnhớúsé,,1981,\N,96,13250.0,False
1861,tt0082436,The Grilling,Garde à vue,1981,\N,87,4613.0,True
1866,tt0082511,Hell Night,Hell Night,1981,\N,101,7238.0,False
1869,tt0082640,Lády Cháttérléy's Lớvér,,1981,\N,104,2727.0,False
1878,tt0082744,Midnight,Midnight,1982,\N,94,1019.0,False
1891,tt0082958,The Pursuit of D.B. Cooper,,1981,\N,100,1174.0,False
1893,tt0083006,Rớllớvér,,1981,\N,116,1222.0,False
1899,tt0083190,Thief,Thief,1981,\N,123,,True
1913,tt0083590,The Atomic Cafe,The Atomic Cafe,1982,\N,86,4078.0,True
1937,tt0084237,The Last Unicorn,,1982,\N,92,25827.0,True
1942,tt0084357,Thé Living Déád Girl,La morte vivante,1982,\N,86,2130.0,False
1949,tt0084477,Partners,Partners,1982,\N,93,1304.0,False
1979,tt0084934,Yol,,1982,\N,114,13274.0,True
1984,tt0085244,The Big Chill,,1983,\N,105,35691.0,True
1986,tt0085276,Breathless,Breathless,1983,\N,100,9111.0,False
1997,tt0085461,The Dresser,The Dresser,1983,\N,118,,True
2001,tt0085518,Faces of Death II,Faces of Death II,1981,\N,85,1911.0,False
2022,tt0086011,A Night in Heaven,,1983,\N,83,1324.0,False
2027,tt0086087,Pauline at the Beach,Pauline à la plage,1983,\N,95,8826.0,True
2028,tt0086102,Phar Lap,,1983,\N,107,1733.0,True
2089,tt0087414,The Hit,,1984,\N,98,8120.0,True
2102,tt0087746,Mớrtúáry,Mortuary,1983,\N,93,2187.0,False
2103,tt0087759,Murder-Rock: Dancing Death,Murderock - Uccide a passo di danza,1984,\N,93,1745.0,False
2119,tt0088146,A Soldier's Story,,1984,\N,101,,True
2120,tt0088175,Sta se zgodi kad se ljubav rodi,Sta se zgodi kad se ljubav rodi,1984,\N,103,1129.0,True
2123,tt0088224,Tank,,\N,1984,113,4269.0,False
2130,tt0088379,Thé Wárriớr ánd thé Sớrcéréss,The Warrior and the Sorceress,1984,\N,81,2008.0,False
2137,tt0088782,Before Stonewall,Before Stonewall,1984,\N,87,1079.0,True
2140,tt0088879,Il camorrista,Il camorrista,1986,\N,171,,True
2158,tt0089308,Howling II: ... Your Sister Is a Werewolf,Howling II: Stirba - Werewolf Bitch,1985,\N,91,6997.0,False
2162,tt0089420,King David,King David,1985,\N,114,2277.0,False
2172,tt0089622,Morons from Outer Space,Morons from Outer Space,1985,\N,86,1891.0,False
2176,tt0089746,The Funeral,Osôshiki,1984,\N,124,1231.0,True
2182,tt0089847,The Protector,,\N,1985,91,4438.0,False
2201,tt0090356,Young Lady Chatterley II,,1985,\N,86,1149.0,False
2204,tt0090563,Betty Blue,37°2 le matin,1986,\N,185,20578.0,True
2205,tt0090565,Four Adventures of Reinette and Mirabelle,4 aventures de Reinette et Mirabelle,1987,\N,99,2597.0,True
2206,tt0090576,The Assault,,1986,\N,141,3177.0,True
2207,tt0090579,Voyeur,Abel,1986,\N,100,2289.0,True
2222,tt0091064,The Fly,The Fly,1986,\N,96,171445.0,True
2246,tt0091544,Monster in the Closet,,1986,\N,90,2588.0,False
2268,tt0091990,Sorority House Massacre,,1986,\N,74,3217.0,False
2273,tt0092117,True Stories,,1986,\N,89,6427.0,True
2278,tt0092297,Zombie Nightmare,Zombie Nightmare,1987,\N,89,3475.0,False
2282,tt0092548,American Ninja 2: The Confrontation,American Ninja 2: The Confrontation,1987,\N,90,8604.0,False
2284,tt0092558,Motherland Hotel,,1987,\N,101,3751.0,True
2299,tt0092798,Critical Condition,,1987,\N,97,3400.0,False
2306,tt0092929,Drowning by Numbers,,1988,\N,118,9937.0,True
2309,tt0093036,Flowers in the Attic,Flowers in the Attic,1987,\N,93,9959.0,False
2314,tt0093111,The Grand Highway,,1987,\N,104,1556.0,True
2316,tt0093132,Hachi-ko,,1987,\N,107,5073.0,True
2348,tt0093756,Police Academy 4: Citizens on Patrol,,1987,\N,88,41984.0,False
2359,tt0093986,Slám Dáncé,Slam Dance,1987,\N,92,1520.0,False
2378,tt0094361,You Talkin' to Me?,You Talkin' to Me?,1987,\N,97,1068.0,False
2379,tt0094407,Ödipussi,Ödipussi,1988,\N,88,3717.0,True
2382,tt0094594,1969,1969,1988,\N,95,3739.0,False
2389,tt0094737,Big,,1988,\N,104,210527.0,True
2391,tt0094794,The Brain,,1988,\N,94,2397.0,False
2392,tt0094799,"Bright Lights, Big City",,1988,\N,107,,False
2394,tt0094813,Bulletproof,Bulletproof,1987,\N,93,1344.0,False
2416,tt0095262,Mobile Suit Gundam: Char's Counterattack,Kidô Senshi Gundam: Gyakushû no Shâ,1988,\N,124,1573.0,True
2427,tt0095467,A Short Film About Love,Krótki film o milosci,1988,\N,87,21976.0,True
2430,tt0095497,Thé Lást Témptátiớn ớf Christ,The Last Temptation of Christ,1988,\N,164,55361.0,True
2431,tt0095511,Lá léctricé,,1988,\N,99,1610.0,True
2448,tt0095953,Rain Man,Rain Man,1988,\N,133,,True
2453,tt0096037,Satisfaction,,1988,\N,92,3514.0,False
2480,tt0097174,Deathstalker and the Warriors from Hell,Deathstalker and the Warriors from Hell,1988,\N,86,,False
2487,tt0097263,Edge of Sanity,,1989,\N,85,1457.0,False
2521,tt0097940,Mystéry Tráin,,1989,\N,110,27376.0,True
2537,tt0098319,Shirley Valentine,,\N,1989,108,7768.0,True
2552,tt0098999,Agneepath,Agneepath,1990,\N,174,8791.0,True
2565,tt0099395,Def by Temptation,Def by Temptation,1990,\N,95,1550.0,False
2578,tt0099701,The Rift,,1990,\N,83,,False
2583,tt0099785,Home Alone,Home Alone,1990,\N,103,522658.0,True
2597,tt0100151,Mindwálk,Mindwalk,1990,\N,112,3034.0,True
2604,tt0100332,Paris Is Burning,Paris Is Burning,1990,\N,71,14395.0,True
2642,tt0101660,The Dark Backward,The Dark Backward,1991,\N,101,3660.0,False
2644,tt0101698,Défénding Yớúr Lifé,,1991,\N,112,18397.0,True
2649,tt0101775,Drop Dead Fred,Drop Dead Fred,1991,\N,103,28135.0,False
2655,tt0102011,"He Said, She Said","He Said, She Said",1991,\N,115,6876.0,False
2657,tt0102095,If Looks Could Kill,If Looks Could Kill,1991,\N,88,6914.0,False
2665,tt0102388,The Man in the Moon,The Man in the Moon,1991,\N,99,16319.0,True
2671,tt0102583,"Olivier, Olivier","Olivier, Olivier",1992,\N,110,1756.0,True
2680,tt0102816,Center Stage,,1991,\N,126,2068.0,True
2691,tt0103077,There's Nothing Out There,,1991,\N,91,1536.0,False
2716,tt0104028,The Black Bomber,,1992,\N,116,3185.0,True
2724,tt0104299,Freejack,,1992,\N,110,15791.0,False
2731,tt0104605,Khiladi,Khiladi,1992,\N,157,7963.0,True
2733,tt0104658,L.627,L.627,1992,\N,145,1927.0,True
2746,tt0104837,Méátbálls 4,,1992,\N,84,2336.0,False
2751,tt0105046,Of Mice and Men,,1992,\N,115,42645.0,True
2753,tt0105089,The Panama Deception,,1992,\N,91,1078.0,True
2754,tt0105104,Pásséngér 57,,1992,\N,84,47083.0,False
2759,tt0105185,Pigs,,1992,\N,104,,True
2766,tt0105438,Dream of Light,,1992,\N,133,,True
2770,tt0105526,The Taking of Beverly Hills,,1991,\N,96,1197.0,False
2775,tt0105652,Pushing Hands,Tui shou,1991,\N,105,4074.0,True
2778,tt0105764,Visions of Light,,\N,1992,92,3175.0,True
2808,tt0106761,Double Dragon,Double Dragon,1994,\N,96,13118.0,False
2811,tt0106877,Father Hood,Father Hood,1993,\N,95,3102.0,False
2829,tt0107321,King Uncle,,\N,1993,171,2810.0,False
2833,tt0107387,Leprechaun,,1993,\N,92,25966.0,False
2836,tt0107507,Mánháttán Múrdér Mystéry,,\N,1993,104,42564.0,True
2840,tt0107625,Mother's Day,,1994,\N,95,2056.0,True
2847,tt0107894,Psycho Cop Returns,,1993,\N,80,2590.0,False
2862,tt0108255,Super Mario Bros.,,1993,\N,104,52587.0,False
2869,tt0108358,Tombstone,Tombstone,1993,\N,130,,True
2871,tt0108447,The Unnamable II: The Statement of Randolph Carter,The Unnamable II: The Statement of Randolph Carter,1992,\N,104,1024.0,False
2881,tt0109066,Vive L'Amour,,1994,\N,118,3890.0,True
2915,tt0109809,FleshEater,FleshEater,1988,\N,88,1492.0,False
2928,tt0110081,To Live,Huo zhe,\N,1994,133,17363.0,True
2929,tt0110116,Immortal Beloved,,\N,1994,121,,True
2939,tt0110255,Kickboxer 4: The Aggressor,,1994,\N,90,3420.0,False
2948,tt0110367,Little Women,,1994,\N,115,,True
2953,tt0110613,My Girl 2,My Girl 2,1994,\N,99,19313.0,False
2969,tt0110989,Richie Rich,Ri¢hie Ri¢h,\N,1994,95,67078.0,False
2971,tt0111019,Wild Reeds,Les roseaux sauvages,1994,\N,110,5675.0,True
2975,tt0111174,Showdown,Showdown,1993,\N,98,1067.0,False
2977,tt0111190,The Silence of the Hams,Il silenzio dei prosciutti,1994,\N,81,5520.0,False
2980,tt0111282,Stargate,Stargate,1994,\N,116,184134.0,True
2988,tt0111666,Wár ớf thé Búttớns,,1994,\N,94,,True
2989,tt0111786,In the Heat of the Sun,Yang guang can lan de ri zi,1994,\N,134,4315.0,True
3006,tt0112602,Bushwhacked,,1995,\N,90,5987.0,False
3073,tt0114388,Sense and Sensibility,Sense and Sensibility,1995,\N,136,,True
3077,tt0114465,Ski School 2,,1994,\N,92,,False
3079,tt0114489,Soldier Boyz,,1995,\N,90,1205.0,False
3080,tt0114496,Something to Talk About,,1995,\N,106,14839.0,False
3103,tt0115577,Ásphált Tángớ,Asphalt Tango,1996,\N,100,,True
3136,tt0116261,Eye of God,Eye of God,\N,1997,84,1193.0,True
3137,tt0116269,Faithful,Faithful,1996,\N,91,2087.0,False
3139,tt0116289,Feeling Minnesota,,1996,\N,99,10982.0,False
3146,tt0116426,Thé Gớd ớf Cớớkéry,,1996,\N,88,8687.0,True
3165,tt0116828,The Last Days of Frankie the Fly,,1996,\N,96,1842.0,False
3179,tt0117070,Mojave Moon,Mojave Moon,1996,\N,95,2572.0,False
3191,tt0117372,The Preacher's Wife,The Preacher's Wife,1996,\N,123,11819.0,False
3195,tt0117482,Ripe,,1996,\N,92,1085.0,False
3201,tt0117609,Sgt. Kabukiman N.Y.P.D.,Sgt. Kabukiman N.Y.P.D.,1990,\N,105,2915.0,False
3243,tt0118826,Thé Cástlé,The Castle,1997,\N,85,15860.0,True
3244,tt0118843,"Black Cat, White Cat",,1998,\N,127,52713.0,True
3255,tt0119084,The Ex,The Ex,1996,\N,87,1158.0,False
3266,tt0119203,Glam,Glam,1997,\N,92,2404.0,False
3269,tt0119239,Gupt: The Hidden Truth,,1997,\N,173,4905.0,True
3286,tt0119502,The Last Time I Committed Suicide,,\N,1997,92,2238.0,False
3294,tt0119642,Mean Guns,Mean Guns,1997,\N,104,,False
3296,tt0119670,Thé Mighty,,1998,\N,100,12911.0,True
3339,tt0120619,Break Up,Break Up,1998,\N,100,1858.0,False
3343,tt0120670,Firestorm,Firestorm,1998,\N,89,3939.0,False
3345,tt0120696,Hard Rain,Hard Rain,1998,\N,97,34763.0,False
3351,tt0120731,The Legend of 1900,,1998,\N,169,62087.0,True
3361,tt0120836,Lớst & Fớúnd,Lost & Found,1999,\N,100,6465.0,False
3369,tt0120917,The Emperor's New Groove,,2000,\N,78,192434.0,True
3383,tt0123391,Brigada Diverse intrã în actiune,,1970,\N,100,1738.0,True
3398,tt0126861,Denial,Denial,\N,1998,93,,False
3404,tt0127834,Seven Years Bad Luck,,\N,1921,62,1213.0,True
3410,tt0128445,Rúshmớré,,\N,1998,93,178673.0,True
3413,tt0129387,There's Something About Mary,,1998,\N,119,302761.0,True
3418,tt0130192,Postmortem,,1998,\N,105,2021.0,False
3420,tt0130444,Aimee & Jaguar,Aimée & Jaguar,1999,\N,125,6447.0,True
3430,tt0132245,Driven,Driven,2001,\N,116,40605.0,False
3461,tt0139615,Slam,,1998,\N,100,,True
3462,tt0139809,Thé Thirtéénth Flớớr,The Thirteenth Floor,1999,\N,100,70085.0,True
3470,tt0140534,Sathi Leelavathi,,\N,1995,151,1359.0,True
3481,tt0142243,Dragon Ball Z: Wrath of the Dragon,,1995,\N,52,8497.0,True
3487,tt0143861,Scratch,,2001,\N,92,2785.0,True
3497,tt0145033,Kingdom of Crooked Mirrors,,1963,\N,75,1287.0,True
3519,tt0154183,First Rank,,1990,\N,150,,False
3541,tt0158610,The Fall of Rock & Roll,,1989,\N,106,3140.0,True
3561,tt0163676,The in Crowd,The In Crowd,2000,\N,105,4540.0,False
3574,tt0165623,Ángst,,1983,\N,87,10269.0,True
3579,tt0166110,Bones,Bones,2001,\N,96,,False
3584,tt0166370,Subconscious Cruelty,Subconscious Cruelty,2000,\N,92,1824.0,False
3590,tt0167341,Tommy and the Wildcat,,1998,\N,102,,False
3629,tt0175536,Freeway II: Confessions of a Trickbaby,Freeway II: Confessions of a Trickbaby,1999,\N,97,2962.0,False
3630,tt0175880,Magnolia,Magnolia,\N,1999,188,302174.0,True
3631,tt0176269,Universal Soldier: The Return,Universal Soldier: The Return,1999,\N,83,28923.0,False
3637,tt0177650,Company Man,Company Man,2000,\N,95,2073.0,False
3645,tt0179918,Kamiondzije opet voze,Kamiondzije opet voze,1984,\N,88,1146.0,True
3646,tt0180052,Thé Ádvéntúrés ớf Plútớ Násh,,2002,\N,95,25485.0,False
3678,tt0186725,Zátớichi's Cáné Swớrd,Zatôichi tekka-tabi,1967,\N,93,1169.0,True
3690,tt0188766,King of Comedy,Hei kek ji wong,1999,\N,85,6806.0,True
3695,tt0190332,"Crouching Tiger, Hidden Dragon",Wo hu cang long,2000,\N,120,262431.0,True
3706,tt0192718,The Man Who Sleeps,,1974,\N,77,3498.0,True
3714,tt0196069,Samsara,Samsara,2001,\N,145,7829.0,True
3715,tt0196219,The Wrecking Crew,,2000,\N,80,1232.0,False
3718,tt0196635,International Khiladi,International Khiladi,1999,\N,175,2216.0,False
3728,tt0200087,Sarfarosh,,1999,\N,174,25084.0,True
3736,tt0201844,Survival Island,Survival Island,2002,\N,85,4228.0,False
3749,tt0205461,Thomas and the Magic Railroad,,2000,\N,85,4218.0,False
3759,tt0209144,Méméntớ,Memento,2000,\N,113,1180579.0,True
3761,tt0209463,The Wind Will Carry Us,,\N,1999,118,10261.0,True
